,model,RMSE_train,RMSE_test,AIC
708,"(1, 1, 5),(2, 1, 6, 12)",29.12,96.88,2637.1136437030127
2615,"(4, 0, 1),(1, 1, 7, 12)",27.97,96.89,2631.3216756086276
2363,"(3, 1, 4),(1, 1, 4, 12)",30.28,96.9,2648.705673134644
1862,"(3, 0, 3),(1, 1, 7, 12)",27.89,96.92,2631.418499200511
466,"(1, 1, 1),(2, 1, 6, 12)",29.44,96.93,2632.181932355868
1383,"(2, 1, 2),(2, 1, 6, 12)",29.46,96.94,2636.558520238462
4050,"(5, 1, 3),(2, 1, 3, 12)",28.94,96.95,2629.8971724079406
3533,"(5, 0, 2),(1, 1, 6, 12)",27.92,96.95,2633.4360666375296
3723,"(5, 0, 5),(1, 1, 7, 12)",27.71,96.96,2635.8204129904016
576,"(1, 1, 3),(1, 1, 6, 12)",29.19,96.96,2630.867232792846
1319,"(2, 1, 1),(2, 1, 6, 12)",29.25,96.99,2630.600505965539
265,"(1, 0, 5),(1, 1, 6, 12)",27.73,96.99,2627.677277470726
1861,"(3, 0, 3),(1, 1, 6, 12)",27.63,97.05,2626.185361631183
3856,"(5, 0, 7),(1, 1, 7, 12)",27.98,97.07,2646.6217607870863
4069,"(5, 1, 3),(4, 0, 5, 12)",32.52,97.09,2870.53820411595
1923,"(3, 0, 4),(1, 1, 6, 12)",28.05,97.1,2634.559582871958
1180,"(2, 0, 6),(1, 1, 7, 12)",27.93,97.1,2636.036081495829
3597,"(5, 0, 3),(1, 1, 7, 12)",28.2,97.1,2643.099984571965
4098,"(5, 1, 4),(1, 1, 5, 12)",28.81,97.11,2632.377960166241
4164,"(5, 1, 5),(1, 1, 7, 12)",28.96,97.11,2648.8733589747753
4242,"(5, 1, 6),(2, 1, 2, 12)",30.42,97.12,2656.981761582178
3989,"(5, 1, 2),(2, 1, 6, 12)",29.18,97.12,2636.7310754075916
1276,"(2, 0, 7),(4, 0, 7, 12)",28.89,97.12,2792.2416560232846
2411,"(3, 1, 4),(5, 1, 2, 12)",28.75,97.12,2626.7145215467526
1550,"(2, 1, 5),(2, 1, 6, 12)",28.77,97.13,2629.9447334150277
1433,"(2, 1, 3),(2, 1, 6, 12)",29.21,97.15,2633.3173708033755
3467,"(5, 0, 1),(1, 1, 6, 12)",27.7,97.16,2626.8131571197073
3375,"(4, 1, 6),(4, 1, 3, 12)",29.39,97.17,2647.9621797749282
1476,"(2, 1, 4),(1, 1, 6, 12)",28.88,97.19,2630.128739230031
3367,"(4, 1, 6),(3, 1, 5, 12)",28.56,97.19,2635.402494558839
137,"(1, 0, 3),(1, 1, 6, 12)",27.85,97.19,2625.693944300519
3373,"(4, 1, 6),(4, 1, 1, 12)",29.85,97.2,2647.51320449207
3374,"(4, 1, 6),(4, 1, 2, 12)",29.65,97.2,2648.3854560953578
1797,"(3, 0, 2),(1, 1, 6, 12)",27.92,97.21,2629.193280917507
4288,"(5, 1, 7),(1, 1, 7, 12)",28.19,97.22,2633.4048940188763
1734,"(3, 0, 1),(1, 1, 6, 12)",27.79,97.25,2624.6563480010605
4073,"(5, 1, 3),(4, 1, 2, 12)",29.19,97.25,2634.929378765098
1486,"(2, 1, 4),(2, 1, 6, 12)",28.81,97.26,2631.5275370535487
3891,"(5, 0, 7),(4, 1, 7, 12)",27.97,97.26,2651.3802763160434
4241,"(5, 1, 6),(2, 1, 1, 12)",30.43,97.26,2655.1005532637837
1604,"(2, 1, 6),(1, 1, 6, 12)",28.62,97.27,2628.765377379551
1601,"(2, 1, 6),(1, 1, 3, 12)",30.31,97.28,2647.870009226681
3792,"(5, 0, 6),(1, 1, 7, 12)",27.78,97.29,2641.0910625559472
84,"(1, 0, 2),(2, 0, 7, 12)",29.91,97.3,2848.546228005164
1179,"(2, 0, 6),(1, 1, 6, 12)",27.62,97.3,2630.1386764246354
328,"(1, 0, 6),(1, 1, 6, 12)",27.7,97.31,2628.7957791879835
1484,"(2, 1, 4),(2, 1, 4, 12)",29.02,97.35,2629.2854581743895
2314,"(3, 1, 3),(2, 1, 2, 12)",30.85,97.35,2654.2058419063496
3280,"(4, 1, 5),(1, 1, 6, 12)",28.67,97.35,2630.152552200536
1477,"(2, 1, 4),(1, 1, 7, 12)",28.95,97.36,2633.448007636347
1052,"(2, 0, 4),(1, 1, 6, 12)",27.71,97.37,2627.5233549759305
3917,"(5, 1, 1),(1, 1, 6, 12)",28.77,97.38,2626.71471848017
3784,"(5, 0, 6),(1, 0, 6, 12)",28.74,97.43,2815.218059203657
1424,"(2, 1, 3),(1, 1, 6, 12)",28.9,97.44,2627.094832058126
2888,"(4, 0, 5),(4, 1, 6, 12)",27.62,97.48,2649.6686606665517
12,"(1, 0, 1),(1, 1, 6, 12)",27.94,97.48,2623.1664672279894
2051,"(3, 0, 6),(1, 1, 6, 12)",27.64,97.49,2631.600808076156
2117,"(3, 0, 6),(1, 1, 6, 12)",27.64,97.49,2631.600808076156
2614,"(4, 0, 1),(1, 1, 6, 12)",27.76,97.49,2626.1823955607824
3658,"(5, 0, 4),(1, 1, 6, 12)",27.54,97.51,2629.873084373422
1671,"(2, 1, 7),(1, 1, 7, 12)",28.81,97.51,2635.997817858881
930,"(2, 0, 2),(1, 1, 6, 12)",27.94,97.51,2627.161119746288
1243,"(2, 0, 7),(1, 1, 6, 12)",27.62,97.52,2631.3295585120477
869,"(2, 0, 1),(1, 1, 6, 12)",27.94,97.52,2625.1668004660582
1873,"(3, 0, 3),(2, 1, 6, 12)",27.99,97.52,2631.7125429172656
1625,"(2, 1, 6),(3, 1, 2, 12)",29.97,97.57,2644.3079897858725
3903,"(5, 0, 7),(5, 1, 5, 12)",27.39,97.57,2640.9545922244733
392,"(1, 0, 7),(1, 1, 6, 12)",27.53,97.59,2628.5836379355633
166,"(1, 0, 3),(4, 0, 4, 12)",29.82,97.6,2848.6432653176844
2915,"(4, 0, 6),(1, 1, 6, 12)",27.95,97.6,2638.20611374499
637,"(1, 1, 4),(1, 1, 6, 12)",29.26,97.61,2632.6061618017998
811,"(1, 1, 7),(1, 1, 6, 12)",28.8,97.65,2631.548753687451
3468,"(5, 0, 1),(1, 1, 7, 12)",27.78,97.65,2629.525356260244
3101,"(4, 1, 2),(1, 1, 6, 12)",29.23,97.67,2633.8947354939373
2881,"(4, 0, 5),(4, 0, 6, 12)",29.02,97.69,2795.610617055922
694,"(1, 1, 5),(1, 1, 6, 12)",28.97,97.72,2630.1069828835966
2430,"(3, 1, 5),(1, 1, 7, 12)",28.53,97.73,2640.9886877587996
2797,"(4, 0, 4),(1, 1, 7, 12)",27.73,97.75,2632.3843866779735
2182,"(3, 1, 1),(1, 1, 6, 12)",28.93,97.77,2625.6601889154326
514,"(1, 1, 2),(1, 1, 6, 12)",29.04,97.77,2625.1772170438617
199,"(1, 0, 4),(1, 1, 6, 12)",27.77,97.77,2626.64335828388
1668,"(2, 1, 7),(1, 1, 4, 12)",30.25,97.78,2651.828886217363
3877,"(5, 0, 7),(3, 1, 3, 12)",28.0,97.79,2642.435411554817
759,"(1, 1, 6),(1, 1, 7, 12)",28.91,97.8,2633.3748487334306
455,"(1, 1, 1),(1, 1, 6, 12)",29.3,97.8,2627.9942499386693
3918,"(5, 1, 1),(1, 1, 7, 12)",28.73,97.8,2627.8254090231726
3890,"(5, 0, 7),(4, 1, 6, 12)",27.68,97.83,2646.335989882952
2688,"(4, 0, 2),(2, 1, 6, 12)",27.76,97.84,2628.390113754572
1425,"(2, 1, 3),(1, 1, 7, 12)",28.92,97.84,2629.2599969257235
1482,"(2, 1, 4),(2, 1, 2, 12)",30.07,97.84,2640.211704836108
695,"(1, 1, 5),(1, 1, 7, 12)",28.92,97.87,2631.5776709877036
2241,"(3, 1, 2),(1, 1, 6, 12)",29.12,97.89,2629.74636991241
3402,"(4, 1, 7),(1, 1, 7, 12)",28.49,97.91,2633.129868312858
2807,"(4, 0, 4),(2, 1, 6, 12)",27.65,97.91,2630.437838958506
1372,"(2, 1, 2),(1, 1, 7, 12)",29.27,97.91,2633.426963508042
3789,"(5, 0, 6),(1, 1, 4, 12)",28.98,97.91,2651.7805610989867
1371,"(2, 1, 2),(1, 1, 6, 12)",29.28,97.92,2631.46118886068
3102,"(4, 1, 2),(1, 1, 7, 12)",28.9,97.92,2631.2719973703947
2677,"(4, 0, 2),(1, 1, 7, 12)",27.8,97.94,2629.2009326271636
3249,"(4, 1, 4),(4, 1, 1, 12)",29.75,97.94,2640.9296368376863
1306,"(2, 1, 1),(1, 1, 6, 12)",29.0,97.94,2624.7481179907095
3231,"(4, 1, 4),(2, 1, 6, 12)",28.88,97.94,2633.413848160678
638,"(1, 1, 4),(1, 1, 7, 12)",28.93,97.95,2629.6625210164407
812,"(1, 1, 7),(1, 1, 7, 12)",28.8,97.96,2633.4172951498967
2242,"(3, 1, 2),(1, 1, 7, 12)",28.96,97.96,2630.1430726157796
13,"(1, 0, 1),(1, 1, 7, 12)",27.95,97.96,2625.147102287136
2386,"(3, 1, 4),(3, 1, 2, 12)",29.91,97.98,2640.878421320316
1670,"(2, 1, 7),(1, 1, 6, 12)",28.58,98.0,2630.0417490210602
456,"(1, 1, 1),(1, 1, 7, 12)",29.32,98.01,2630.0116270868493
4045,"(5, 1, 3),(2, 0, 5, 12)",29.1,98.01,2783.923248999513
3281,"(4, 1, 5),(1, 1, 7, 12)",28.93,98.05,2640.3714694880728
3855,"(5, 0, 7),(1, 1, 6, 12)",27.83,98.05,2640.978205345733
3044,"(4, 1, 1),(1, 1, 6, 12)",28.88,98.06,2626.3677766355277
2183,"(3, 1, 1),(1, 1, 7, 12)",28.9,98.07,2627.404311873044
2305,"(3, 1, 3),(1, 1, 7, 12)",28.98,98.08,2632.10788705944
758,"(1, 1, 6),(1, 1, 6, 12)",29.24,98.1,2635.644117560877
3788,"(5, 0, 6),(1, 1, 3, 12)",29.28,98.1,2654.2599235005873
4314,"(5, 1, 7),(4, 1, 1, 12)",29.91,98.11,2652.4886978960208
545,"(1, 1, 2),(4, 0, 6, 12)",33.66,98.12,2867.31551386829
1483,"(2, 1, 4),(2, 1, 3, 12)",29.14,98.12,2629.8739128333436
3217,"(4, 1, 4),(1, 1, 6, 12)",28.71,98.14,2629.0770529484234
3977,"(5, 1, 2),(1, 1, 6, 12)",28.92,98.14,2630.5483595778605
2493,"(3, 1, 6),(1, 1, 6, 12)",28.83,98.15,2633.1209317712946
1113,"(2, 0, 5),(1, 1, 6, 12)",27.52,98.16,2626.0036579209964
1527,"(2, 1, 5),(1, 0, 4, 12)",30.51,98.17,2787.1981556108794
647,"(1, 1, 4),(2, 1, 6, 12)",29.21,98.22,2634.0026576050586
4100,"(5, 1, 4),(1, 1, 7, 12)",28.46,98.22,2630.934123032729
3689,"(5, 0, 4),(4, 1, 1, 12)",29.38,98.25,2653.191679449611
3002,"(4, 0, 7),(3, 1, 2, 12)",28.78,98.26,2648.010204511077
3162,"(4, 1, 3),(1, 1, 7, 12)",28.76,98.27,2630.2248566196904
2729,"(4, 0, 3),(1, 0, 6, 12)",27.78,98.27,2783.1616182205607
1537,"(2, 1, 5),(1, 1, 7, 12)",28.56,98.28,2626.5719094984042
2563,"(3, 1, 7),(2, 1, 6, 12)",28.79,98.31,2636.0524589698834
4304,"(5, 1, 7),(3, 1, 3, 12)",28.89,98.32,2639.461138050142
2736,"(4, 0, 3),(1, 1, 6, 12)",27.64,98.32,2626.7948302105074
4233,"(5, 1, 6),(1, 1, 7, 12)",28.69,98.34,2637.879101557352
1307,"(2, 1, 1),(1, 1, 7, 12)",28.99,98.36,2626.52459690703
1399,"(2, 1, 2),(4, 0, 7, 12)",31.31,98.36,2812.7473656216157
2796,"(4, 0, 4),(1, 1, 6, 12)",27.38,98.37,2626.6674974600965
1891,"(3, 0, 3),(4, 0, 7, 12)",33.14,98.37,2864.477180232164
3412,"(4, 1, 7),(2, 1, 3, 12)",29.23,98.38,2640.6790942646003
3401,"(4, 1, 7),(1, 1, 6, 12)",28.81,98.38,2637.7039873925514
3978,"(5, 1, 2),(1, 1, 7, 12)",28.86,98.4,2631.703395514376
2373,"(3, 1, 4),(2, 1, 2, 12)",30.04,98.41,2640.66454329757
1644,"(2, 1, 6),(4, 1, 7, 12)",28.31,98.44,2635.7719892816967
3045,"(4, 1, 1),(1, 1, 7, 12)",28.89,98.44,2628.215507604187
3356,"(4, 1, 6),(2, 1, 6, 12)",28.91,98.45,2639.120120222048
2159,"(3, 0, 6),(5, 0, 3, 12)",32.59,98.47,2897.5995653533814
2093,"(3, 0, 6),(5, 0, 3, 12)",32.59,98.47,2897.5995653533814
2401,"(3, 1, 4),(4, 1, 3, 12)",29.15,98.48,2634.1694160436437
2586,"(3, 1, 7),(4, 1, 6, 12)",28.27,98.48,2633.0313558284697
4137,"(5, 1, 4),(4, 1, 7, 12)",28.01,98.51,2631.342668189691
2366,"(3, 1, 4),(1, 1, 7, 12)",28.84,98.52,2631.227640411751
3161,"(4, 1, 3),(1, 1, 6, 12)",28.57,98.52,2626.198883669478
4326,"(5, 1, 7),(5, 1, 3, 12)",29.28,98.52,2650.0953004412304
4253,"(5, 1, 6),(3, 1, 1, 12)",30.28,98.54,2653.834323277217
515,"(1, 1, 2),(1, 1, 7, 12)",29.05,98.55,2626.98827736188
2536,"(3, 1, 6),(5, 1, 4, 12)",28.19,98.6,2629.8862020088263
2676,"(4, 0, 2),(1, 1, 6, 12)",27.51,98.61,2622.6212753523614
1568,"(2, 1, 5),(4, 0, 5, 12)",28.97,98.62,2772.6687970613857
1536,"(2, 1, 5),(1, 1, 6, 12)",28.89,98.62,2628.4518916544557
2082,"(3, 0, 6),(4, 0, 6, 12)",29.15,98.7,2796.5724614006103
2148,"(3, 0, 6),(4, 0, 6, 12)",29.15,98.7,2796.5724614006103
4268,"(5, 1, 6),(4, 1, 6, 12)",28.37,98.74,2641.1470935332345
2928,"(4, 0, 6),(2, 1, 6, 12)",27.87,98.77,2641.3058529865607
1983,"(3, 0, 5),(1, 1, 6, 12)",27.45,98.84,2626.1621720492913
4303,"(5, 1, 7),(3, 1, 2, 12)",29.88,98.86,2651.4680059586954
4037,"(5, 1, 3),(1, 1, 4, 12)",30.26,98.86,2649.530531850227
4163,"(5, 1, 5),(1, 1, 6, 12)",29.08,98.86,2643.890872850214
907,"(2, 0, 1),(4, 1, 6, 12)",28.04,98.88,2634.4075329518923
1548,"(2, 1, 5),(2, 1, 4, 12)",28.95,98.9,2629.1152698547003
4052,"(5, 1, 3),(2, 1, 5, 12)",28.8,98.92,2630.4986365113255
3342,"(4, 1, 6),(1, 1, 5, 12)",29.69,98.94,2650.729397356481
2977,"(4, 0, 7),(1, 1, 1, 12)",29.36,98.97,2651.377140607369
1526,"(2, 1, 5),(1, 0, 3, 12)",30.42,98.98,2787.1722759170234
3785,"(5, 0, 6),(1, 0, 7, 12)",27.91,98.98,2794.5819357053524
4263,"(5, 1, 6),(4, 1, 1, 12)",29.39,98.98,2641.9271946892154
3852,"(5, 0, 7),(1, 1, 3, 12)",29.34,99.01,2658.854126000181
3849,"(5, 0, 7),(1, 0, 7, 12)",28.44,99.02,2806.669118426291
4286,"(5, 1, 7),(1, 1, 5, 12)",29.35,99.04,2648.582483110641
2304,"(3, 1, 3),(1, 1, 6, 12)",29.06,99.08,2630.8693715075506
3928,"(5, 1, 1),(2, 1, 5, 12)",28.99,99.09,2630.608409948318
4231,"(5, 1, 6),(1, 1, 5, 12)",29.65,99.12,2655.219218472086
646,"(1, 1, 4),(2, 1, 5, 12)",29.08,99.16,2630.9695586612015
2595,"(3, 1, 7),(5, 1, 1, 12)",29.32,99.17,2639.770495335277
4177,"(5, 1, 5),(2, 1, 6, 12)",28.81,99.18,2637.566572803353
4196,"(5, 1, 5),(4, 0, 5, 12)",28.7,99.19,2770.6994518241654
3829,"(5, 0, 6),(4, 1, 5, 12)",27.59,99.22,2638.5161683441743
2743,"(4, 0, 3),(2, 0, 7, 12)",28.19,99.25,2795.282580240664
4195,"(5, 1, 5),(4, 0, 4, 12)",29.63,99.25,2798.9612830408214
3172,"(4, 1, 3),(2, 1, 5, 12)",28.96,99.25,2632.076195146392
1924,"(3, 0, 4),(1, 1, 7, 12)",27.79,99.29,2635.2083961666594
2147,"(3, 0, 6),(4, 0, 5, 12)",30.3,99.36,2827.5943787961082
2081,"(3, 0, 6),(4, 0, 5, 12)",30.3,99.36,2827.5943787961082
2412,"(3, 1, 4),(5, 1, 3, 12)",29.18,99.37,2636.9829920848615
3319,"(4, 1, 5),(4, 1, 7, 12)",29.01,99.37,2656.7696539005124
4296,"(5, 1, 7),(2, 1, 4, 12)",29.05,99.37,2641.8490482684597
605,"(1, 1, 3),(4, 0, 7, 12)",32.11,99.4,2879.301471647997
3187,"(4, 1, 3),(4, 0, 6, 12)",30.33,99.41,2797.7401475997995
3651,"(5, 0, 4),(1, 0, 6, 12)",28.07,99.43,2790.351626723631
1485,"(2, 1, 4),(2, 1, 5, 12)",28.99,99.46,2634.4968524047895
2215,"(3, 1, 1),(4, 1, 7, 12)",29.56,99.46,2646.5633887715176
424,"(1, 0, 7),(4, 0, 7, 12)",29.32,99.49,2798.1689936782495
3823,"(5, 0, 6),(4, 0, 6, 12)",30.64,99.49,2856.1888801623563
2908,"(4, 0, 6),(1, 0, 6, 12)",28.08,99.51,2797.1242067578255
588,"(1, 1, 3),(2, 1, 5, 12)",29.02,99.53,2631.546638601253
707,"(1, 1, 5),(2, 1, 5, 12)",28.98,99.55,2633.8347413987362
52,"(1, 0, 1),(4, 1, 7, 12)",27.28,99.55,2625.961099593352
4036,"(5, 1, 3),(1, 1, 3, 12)",30.21,99.56,2646.24695349346
2581,"(3, 1, 7),(4, 0, 7, 12)",29.46,99.61,2786.604683393117
2252,"(3, 1, 2),(2, 1, 5, 12)",29.12,99.67,2631.6469530963436
2825,"(4, 0, 4),(4, 1, 6, 12)",26.95,99.73,2623.960714635098
2849,"(4, 0, 5),(1, 1, 6, 12)",27.59,99.74,2630.0480596135317
2317,"(3, 1, 3),(2, 1, 5, 12)",29.04,99.76,2632.075464027174
3029,"(4, 0, 7),(5, 1, 3, 12)",28.12,99.8,2643.902437438517
1605,"(2, 1, 6),(1, 1, 7, 12)",28.61,99.8,2629.2782560520377
1345,"(2, 1, 1),(4, 1, 7, 12)",29.93,99.85,2651.4250711008467
2302,"(3, 1, 3),(1, 1, 4, 12)",30.62,99.85,2651.229710909756
1172,"(2, 0, 6),(1, 0, 6, 12)",28.03,99.86,2781.767813371712
3338,"(4, 1, 6),(1, 1, 1, 12)",30.56,99.88,2653.9760921050884
2552,"(3, 1, 7),(1, 1, 7, 12)",28.61,99.89,2633.442311333645
2730,"(4, 0, 3),(1, 0, 7, 12)",27.73,99.91,2780.1240052635535
3885,"(5, 0, 7),(4, 1, 1, 12)",29.01,99.92,2653.5147315843437
3449,"(4, 1, 7),(5, 1, 2, 12)",29.07,99.94,2641.6824245537905
3790,"(5, 0, 6),(1, 1, 5, 12)",29.74,100.0,2669.495611924519
2491,"(3, 1, 6),(1, 1, 4, 12)",30.27,100.0,2651.957503730211
3112,"(4, 1, 2),(2, 1, 5, 12)",28.98,100.01,2633.4059337408557
2470,"(3, 1, 5),(4, 1, 7, 12)",29.58,100.02,2667.0041893121197
3343,"(4, 1, 6),(1, 1, 6, 12)",29.01,100.05,2639.834483829341
2460,"(3, 1, 5),(4, 0, 4, 12)",28.73,100.1,2789.4407368231305
1766,"(3, 0, 1),(4, 0, 7, 12)",29.56,100.19,2793.0173591687926
1958,"(3, 0, 4),(4, 1, 7, 12)",27.36,100.23,2632.6709442397905
3255,"(4, 1, 4),(4, 1, 7, 12)",28.02,100.24,2627.463290320867
3230,"(4, 1, 4),(2, 1, 5, 12)",28.93,100.24,2633.055271111018
612,"(1, 1, 3),(4, 1, 7, 12)",29.68,100.24,2648.3731731125217
231,"(1, 0, 4),(4, 0, 7, 12)",29.39,100.31,2793.6656258340304
2712,"(4, 0, 2),(4, 1, 7, 12)",27.36,100.35,2630.6379042305175
3400,"(4, 1, 7),(1, 1, 5, 12)",29.54,100.35,2649.9569223599015
1432,"(2, 1, 3),(2, 1, 5, 12)",28.98,100.36,2631.5142422350955
2016,"(3, 0, 5),(4, 0, 6, 12)",29.16,100.37,2793.9565723472315
2923,"(4, 0, 6),(2, 1, 1, 12)",28.99,100.39,2644.8414537618637
527,"(1, 1, 2),(2, 1, 5, 12)",29.07,100.43,2629.229124501524
2193,"(3, 1, 1),(2, 1, 5, 12)",28.98,100.45,2629.7128462434903
4136,"(5, 1, 4),(4, 1, 6, 12)",27.74,100.47,2624.6249079077593
3389,"(4, 1, 6),(5, 1, 5, 12)",28.6,100.49,2640.5083333026573
2490,"(3, 1, 6),(1, 1, 3, 12)",30.2,100.49,2648.041524009828
29,"(1, 0, 1),(3, 0, 5, 12)",31.63,100.49,2872.127139339876
3715,"(5, 0, 5),(1, 0, 6, 12)",28.09,100.56,2786.8585596820612
3500,"(5, 0, 1),(4, 0, 7, 12)",29.47,100.57,2795.3342014125456
743,"(1, 1, 5),(5, 1, 5, 12)",28.97,100.6,2638.3167058530826
1318,"(2, 1, 1),(2, 1, 5, 12)",29.05,100.63,2628.7919779341005
1144,"(2, 0, 5),(4, 0, 6, 12)",29.14,100.63,2791.044740407938
4258,"(5, 1, 6),(3, 1, 6, 12)",28.58,100.64,2639.9229735115077
3988,"(5, 1, 2),(2, 1, 5, 12)",28.91,100.66,2634.2141005002154
3053,"(4, 1, 1),(2, 1, 5, 12)",28.94,100.67,2630.769292872079
3889,"(5, 0, 7),(4, 1, 5, 12)",27.06,100.69,2637.030181233282
2675,"(4, 0, 2),(1, 1, 5, 12)",29.32,100.7,2648.988575233581
2913,"(4, 0, 6),(1, 1, 4, 12)",29.55,100.74,2660.201156943167
4275,"(5, 1, 6),(5, 1, 4, 12)",28.59,100.76,2640.9419127970086
2405,"(3, 1, 4),(4, 1, 7, 12)",28.25,100.79,2632.2745152724947
821,"(1, 1, 7),(2, 1, 5, 12)",28.79,100.86,2636.1129561149414
846,"(1, 1, 7),(4, 1, 7, 12)",30.0,100.86,2659.5528461552894
3830,"(5, 0, 6),(4, 1, 6, 12)",27.05,100.89,2632.865761439699
911,"(2, 0, 1),(5, 0, 4, 12)",29.83,100.96,2790.44668421902
1922,"(3, 0, 4),(1, 1, 5, 12)",29.27,100.97,2651.2948560975283
4325,"(5, 1, 7),(5, 1, 2, 12)",28.61,100.97,2635.5813807744144
761,"(1, 1, 6),(2, 0, 3, 12)",35.18,100.98,3025.225535437873
106,"(1, 0, 2),(4, 0, 7, 12)",29.62,100.99,2792.2373453236446
2442,"(3, 1, 5),(2, 1, 5, 12)",29.02,101.01,2649.6595434866304
3763,"(5, 0, 5),(4, 1, 6, 12)",26.96,101.05,2629.4219404078585
1549,"(2, 1, 5),(2, 1, 5, 12)",29.4,101.06,2636.7230347788363
4205,"(5, 1, 5),(4, 1, 7, 12)",28.73,101.08,2666.1245781781668
3218,"(4, 1, 4),(1, 1, 7, 12)",28.78,101.08,2633.7035414853844
3532,"(5, 0, 2),(1, 1, 5, 12)",29.73,101.1,2658.469592536502
2882,"(4, 0, 5),(4, 0, 7, 12)",29.91,101.13,2809.993792770341
3413,"(4, 1, 7),(2, 1, 4, 12)",29.07,101.13,2640.301313599415
543,"(1, 1, 2),(4, 0, 4, 12)",32.52,101.16,2925.9510513876558
3642,"(5, 0, 3),(5, 1, 4, 12)",27.94,101.17,2654.0612794445296
4176,"(5, 1, 5),(2, 1, 5, 12)",30.16,101.19,2655.8224841754604
3452,"(4, 1, 7),(5, 1, 5, 12)",28.11,101.2,2631.020887527089
2927,"(4, 0, 6),(2, 1, 5, 12)",27.8,101.22,2634.068367968301
3078,"(4, 1, 1),(4, 1, 7, 12)",29.5,101.25,2646.5543793182023
2348,"(3, 1, 3),(5, 1, 2, 12)",28.96,101.27,2629.5403441495773
797,"(1, 1, 6),(5, 1, 5, 12)",29.05,101.3,2640.466147094333
1976,"(3, 0, 5),(1, 0, 6, 12)",27.88,101.32,2780.538485010221
4284,"(5, 1, 7),(1, 1, 3, 12)",30.52,101.32,2661.656104644503
4254,"(5, 1, 6),(3, 1, 2, 12)",30.19,101.35,2652.9772351633064
3652,"(5, 0, 4),(1, 0, 7, 12)",28.0,101.36,2788.8023647085965
553,"(1, 1, 2),(4, 1, 7, 12)",29.34,101.36,2638.7296329160718
2050,"(3, 0, 6),(1, 1, 5, 12)",29.26,101.39,2653.6918017193316
2116,"(3, 0, 6),(1, 1, 5, 12)",29.26,101.39,2653.6918017193316
2226,"(3, 1, 1),(5, 1, 5, 12)",28.6,101.39,2629.57878664723
168,"(1, 0, 3),(4, 0, 7, 12)",29.56,101.42,2793.5522335207543
2427,"(3, 1, 5),(1, 1, 4, 12)",30.95,101.43,2668.021335794911
1690,"(2, 1, 7),(3, 1, 2, 12)",29.85,101.44,2643.445046278555
2017,"(3, 0, 5),(4, 0, 7, 12)",29.19,101.52,2794.5263546812316
4021,"(5, 1, 2),(5, 1, 2, 12)",29.05,101.54,2634.8510269297985
2469,"(3, 1, 5),(4, 1, 6, 12)",29.68,101.56,2657.1060451325557
2110,"(3, 0, 6),(1, 0, 6, 12)",28.32,101.57,2794.425667045223
2044,"(3, 0, 6),(1, 0, 6, 12)",28.32,101.57,2794.425667045223
2511,"(3, 1, 6),(3, 1, 1, 12)",30.09,101.58,2645.8208326255212
735,"(1, 1, 5),(5, 0, 4, 12)",28.66,101.6,2763.345567394048
45,"(1, 0, 1),(4, 0, 7, 12)",29.59,101.64,2789.947400333824
1610,"(2, 1, 6),(2, 0, 7, 12)",29.31,101.67,2809.3106961166295
1921,"(3, 0, 4),(1, 1, 4, 12)",29.29,101.68,2649.7745157586014
2399,"(3, 1, 4),(4, 1, 1, 12)",29.56,101.68,2634.5946489130183
4051,"(5, 1, 3),(2, 1, 4, 12)",28.9,101.68,2629.642084613579
2400,"(3, 1, 4),(4, 1, 2, 12)",29.22,101.69,2633.4651057961323
2935,"(4, 0, 6),(3, 1, 1, 12)",29.05,101.75,2647.5179360974585
4315,"(5, 1, 7),(4, 1, 2, 12)",29.62,101.75,2650.8003048190803
3694,"(5, 0, 4),(4, 1, 6, 12)",27.75,101.77,2639.9724981164177
1796,"(3, 0, 2),(1, 1, 5, 12)",29.85,101.77,2656.14042708356
929,"(2, 0, 2),(1, 1, 5, 12)",29.85,101.82,2654.372931312734
3531,"(5, 0, 2),(1, 1, 4, 12)",29.55,101.83,2653.3448502166566
2842,"(4, 0, 5),(1, 0, 6, 12)",27.94,101.85,2782.848306845064
76,"(1, 0, 2),(1, 1, 5, 12)",29.86,101.86,2652.463272539721
3015,"(4, 0, 7),(4, 1, 1, 12)",28.27,101.89,2638.3888273463617
2421,"(3, 1, 5),(1, 0, 5, 12)",28.88,101.9,2775.970068951581
868,"(2, 0, 1),(1, 1, 5, 12)",29.86,101.93,2652.4274648432283
2501,"(3, 1, 6),(2, 1, 2, 12)",29.95,101.94,2643.4111893135178
1236,"(2, 0, 7),(1, 0, 6, 12)",27.91,101.94,2782.983001752492
4060,"(5, 1, 3),(3, 1, 1, 12)",30.08,101.94,2643.480543535837
1733,"(3, 0, 1),(1, 1, 5, 12)",29.81,101.95,2654.1691584688465
136,"(1, 0, 3),(1, 1, 5, 12)",29.87,101.95,2654.3337810296707
2674,"(4, 0, 2),(1, 1, 4, 12)",29.32,101.96,2646.5602586487976
492,"(1, 1, 1),(4, 1, 7, 12)",29.75,101.98,2644.5417573565064
1577,"(2, 1, 5),(4, 1, 7, 12)",28.55,101.99,2635.820690563054
11,"(1, 0, 1),(1, 1, 5, 12)",29.88,102.01,2650.667739755129
2613,"(4, 0, 1),(1, 1, 5, 12)",29.86,102.01,2656.2838746822713
